number,name,position,age,nation,team,value
1,Jude Bellingham,Central Midfield,19,England,Borussia Dortmund,€120.00m
2,Jamal Musiala,Attacking Midfield,20,Germany,Bayern Munich,€110.00m
3,Florian Wirtz,Attacking Midfield,19,Germany,Bayer 04 Leverkusen,€85.00m
4,Joshua Kimmich,Defensive Midfield,28,Germany,Bayern Munich,€90.00m
5,Christopher Nkunku,Second Striker,25,France,RB Leipzig,€80.00m
6,Josko Gvardiol,Centre-Back,21,Croatia,RB Leipzig,€75.00m
7,Matthijs de Ligt,Centre-Back,23,Netherlands,Bayern Munich,€75.00m
8,Alphonso Davies,Left-Back,22,Canada,Bayern Munich,€80.00m
9,Leroy Sané,Right Winger,27,Germany,Bayern Munich,€100.00m
10,Leon Goretzka,Central Midfield,28,Germany,Bayern Munich,€70.00m
11,Kingsley Coman,Left Winger,26,France,Bayern Munich,€65.00m
12,Randal Kolo Muani,Centre-Forward,24,France,Eintracht Frankfurt,€65.00m
13,João Cancelo,Right-Back,28,Portugal,Bayern Munich,€70.00m
14,Dayot Upamecano,Centre-Back,24,France,Bayern Munich,€60.00m
15,Serge Gnabry,Right Winger,27,Germany,Bayern Munich,€90.00m
16,Lucas Hernández,Centre-Back,27,France,Bayern Munich,€70.00m
17,Moussa Diaby,Right Winger,23,France,Bayer 04 Leverkusen,€60.00m
18,Sadio Mané,Left Winger,31,Senegal,Bayern Munich,€150.00m
19,Julian Brandt,Attacking Midfield,26,Germany,Borussia Dortmund,€50.00m
20,Dani Olmo,Attacking Midfield,24,Spain,RB Leipzig,€50.00m
21,Nico Schlotterbeck,Centre-Back,23,Germany,Borussia Dortmund,€40.00m
22,Dominik Szoboszlai,Attacking Midfield,22,Hungary,RB Leipzig,€40.00m
23,Benjamin Pavard,Right-Back,27,France,Bayern Munich,€45.00m
24,Jeremie Frimpong,Right-Back,22,Netherlands,Bayer 04 Leverkusen,€35.00m
25,Karim Adeyemi,Left Winger,21,Germany,Borussia Dortmund,€35.00m
26,Niklas Süle,Centre-Back,27,Germany,Borussia Dortmund,€60.00m
27,Gregor Kobel,Goalkeeper,25,Switzerland,Borussia Dortmund,€35.00m
28,Marcus Thuram,Centre-Forward,25,France,Borussia Mönchengladbach,€40.00m
29,Evan Ndicka,Centre-Back,23,France,Eintracht Frankfurt,€32.00m
30,Patrik Schick,Centre-Forward,27,Czech Republic,Bayer 04 Leverkusen,€50.00m
31,Ryan Gravenberch,Central Midfield,20,Netherlands,Bayern Munich,€35.00m
32,Manu Koné,Central Midfield,21,France,Borussia Mönchengladbach,€30.00m
33,Edmond Tapsoba,Centre-Back,24,Burkina Faso,Bayer 04 Leverkusen,€40.00m
34,Daichi Kamada,Attacking Midfield,26,Japan,Eintracht Frankfurt,€30.00m
35,Sébastien Haller,Centre-Forward,28,Cote d'Ivoire,Borussia Dortmund,€45.00m
36,Youssoufa Moukoko,Centre-Forward,18,Germany,Borussia Dortmund,€30.00m
37,Mohamed Simakan,Centre-Back,22,France,RB Leipzig,€28.00m
38,Giovanni Reyna,Attacking Midfield,20,United States,Borussia Dortmund,€42.00m
39,Noussair Mazraoui,Right-Back,25,Morocco,Bayern Munich,€28.00m
40,Konrad Laimer,Central Midfield,25,Austria,RB Leipzig,€30.00m
41,Jesper Lindström,Attacking Midfield,23,Denmark,Eintracht Frankfurt,€28.00m
42,Timo Werner,Centre-Forward,27,Germany,RB Leipzig,€80.00m
43,Piero Hincapié,Centre-Back,21,Ecuador,Bayer 04 Leverkusen,€25.00m
44,Djibril Sow,Central Midfield,26,Switzerland,Eintracht Frankfurt,€22.00m
45,Xaver Schlager,Central Midfield,25,Austria,RB Leipzig,€27.00m
46,Odilon Kossounou,Centre-Back,22,Cote d'Ivoire,Bayer 04 Leverkusen,€23.00m
47,Mathys Tel,Centre-Forward,17,France,Bayern Munich,€20.00m
48,Matthias Ginter,Centre-Back,29,Germany,SC Freiburg,€35.00m
49,André Silva,Centre-Forward,27,Portugal,RB Leipzig,€45.00m
50,Jonathan Tah,Centre-Back,27,Germany,Bayer 04 Leverkusen,€40.00m
