number,name,position,age,nation,team,value
1,Ui-jo Hwang,Centre-Forward,30,"Korea, South",FC Seoul,€7.00m
2,Gue-sung Cho,Centre-Forward,25,"Korea, South",Jeonbuk Hyundai Motors,€2.50m
3,Darijan Bojanic,Central Midfield,28,Sweden,Ulsan Hyundai,€2.00m
4,Valeri Qazaishvili,Left Winger,30,Georgia,Ulsan Hyundai,€3.50m
5,Gustav Ludwigson,Right Winger,29,Sweden,Ulsan Hyundai,€1.50m
6,Stanislav Iljutcenko,Centre-Forward,32,Russia,FC Seoul,€2.00m
7,Hyeon-woo Jo,Goalkeeper,31,"Korea, South",Ulsan Hyundai,€1.65m
8,André Luis,Right Winger,26,Brazil,Jeonbuk Hyundai Motors,€1.20m
9,Gustavo,Centre-Forward,29,Brazil,Jeonbuk Hyundai Motors,€1.50m
10,Paul-José Mpoku,Attacking Midfield,31,DR Congo,Incheon United,€5.00m
11,Min-kyu Song,Left Winger,23,"Korea, South",Jeonbuk Hyundai Motors,€1.50m
12,Won-sang Um,Right Winger,24,"Korea, South",Ulsan Hyundai,€1.10m
13,Ataru Esaka,Attacking Midfield,30,Japan,Ulsan Hyundai,€1.60m
14,Seung-ho Paik,Central Midfield,26,"Korea, South",Jeonbuk Hyundai Motors,€1.00m
15,Yong-woo Park,Defensive Midfield,29,"Korea, South",Ulsan Hyundai,€1.00m
16,Martin Ádám,Centre-Forward,28,Hungary,Ulsan Hyundai,€1.00m
17,Young-woo Seol,Right-Back,24,"Korea, South",Ulsan Hyundai,€1.00m
18,Cesinha,Attacking Midfield,33,Brazil,Daegu FC,€1.40m
19,Jeong-ho Hong,Centre-Back,33,"Korea, South",Jeonbuk Hyundai Motors,€2.50m
20,Moon-hwan Kim,Right-Back,27,"Korea, South",Jeonbuk Hyundai Motors,€1.00m
21,Seung-hyun Jung,Centre-Back,29,"Korea, South",Ulsan Hyundai,€1.00m
22,Young-jun Choi,Defensive Midfield,31,"Korea, South",Jeju United,€1.00m
23,Sang-ho Na,Left Winger,26,"Korea, South",FC Seoul,€900k
24,Dae-won Kim,Left Winger,26,"Korea, South",Gangwon FC,€900k
25,Tae-hwan Kim,Right-Back,33,"Korea, South",Ulsan Hyundai,€1.00m
26,Dave Bulthuis,Centre-Back,32,Netherlands,Suwon Samsung Bluewings,€1.25m
27,Min-kyu Joo,Centre-Forward,33,"Korea, South",Ulsan Hyundai,€900k
28,Seung-beom Ko,Central Midfield,29,"Korea, South",Suwon Samsung Bluewings,€1.10m
29,Kyo-won Han,Right Winger,32,"Korea, South",Jeonbuk Hyundai Motors,€1.20m
30,Bit-garam Yoon,Central Midfield,32,"Korea, South",Suwon FC,€1.70m
31,Aleksandar Palocevic,Attacking Midfield,29,Serbia,FC Seoul,€1.50m
32,Kook-young Han,Defensive Midfield,33,"Korea, South",Gangwon FC,€1.40m
33,Jun Amano,Attacking Midfield,31,Japan,Jeonbuk Hyundai Motors,€1.50m
34,Jonathan Ring,Right Winger,31,Sweden,Jeju United,€1.30m
35,Tae-wook Jeong,Centre-Back,25,"Korea, South",Jeonbuk Hyundai Motors,€800k
36,Il-lok Yun,Left Winger,31,"Korea, South",Ulsan Hyundai,€1.50m
37,Gerso,Left Winger,32,Guinea-Bissau,Incheon United,€1.75m
38,Jin-hyuk Kim,Centre-Back,29,"Korea, South",Daegu FC,€800k
39,Bo-kyung Kim,Attacking Midfield,33,"Korea, South",Suwon Samsung Bluewings,€3.00m
40,Jae-hyun Go,Attacking Midfield,24,"Korea, South",Daegu FC,€750k
41,Lars Veldwijk,Centre-Forward,31,South Africa,Suwon FC,€2.00m
42,Gyu-sung Lee,Attacking Midfield,28,"Korea, South",Ulsan Hyundai,€800k
43,Sung-yueng Ki,Defensive Midfield,34,"Korea, South",FC Seoul,€10.00m
44,Osmar,Centre-Back,34,Spain,FC Seoul,€1.25m
45,Chang-min Lee,Central Midfield,29,"Korea, South",Jeju United,€1.80m
46,Jin-ho Shin,Attacking Midfield,34,"Korea, South",Incheon United,€725k
47,Yu-min Cho,Centre-Back,26,"Korea, South",Daejeon Hana Citizen,€725k
48,Geon-ung Kim,Defensive Midfield,25,"Korea, South",Jeonbuk Hyundai Motors,€700k
49,Fejsal Mulic,Centre-Forward,28,Serbia,Suwon Samsung Bluewings,€750k
50,Byong-jun An,Centre-Forward,32,"Korea, North",Suwon Samsung Bluewings,€800k
