number,name,position,age,nation,team,value
1,Vinicius Junior,Left Winger,22,Brazil,Real Madrid,€120.00m
2,Federico Valverde,Central Midfield,24,Uruguay,Real Madrid,€100.00m
3,Pedri,Central Midfield,20,Spain,FC Barcelona,€100.00m
4,Gavi,Central Midfield,18,Spain,FC Barcelona,€90.00m
5,Aurélien Tchouaméni,Defensive Midfield,23,France,Real Madrid,€90.00m
6,Rodrygo,Right Winger,22,Brazil,Real Madrid,€80.00m
7,Ronald Araújo,Centre-Back,24,Uruguay,FC Barcelona,€70.00m
8,Éder Militão,Centre-Back,25,Brazil,Real Madrid,€70.00m
9,Frenkie de Jong,Central Midfield,25,Netherlands,FC Barcelona,€90.00m
10,Eduardo Camavinga,Central Midfield,20,France,Real Madrid,€60.00m
11,Jules Koundé,Centre-Back,24,France,FC Barcelona,€60.00m
12,Thibaut Courtois,Goalkeeper,30,Belgium,Real Madrid,€75.00m
13,Ousmane Dembélé,Right Winger,25,France,FC Barcelona,€120.00m
14,Mikel Merino,Central Midfield,26,Spain,Real Sociedad,€50.00m
15,Mikel Oyarzabal,Left Winger,26,Spain,Real Sociedad,€70.00m
16,Raphinha,Right Winger,26,Brazil,FC Barcelona,€50.00m
17,David Alaba,Centre-Back,30,Austria,Real Madrid,€65.00m
18,Pau Torres,Centre-Back,26,Spain,Villarreal CF,€50.00m
19,Marc-André ter Stegen,Goalkeeper,30,Germany,FC Barcelona,€90.00m
20,Rodrigo de Paul,Central Midfield,28,Argentina,Atlético de Madrid,€40.00m
21,Robert Lewandowski,Centre-Forward,34,Poland,FC Barcelona,€90.00m
22,Jan Oblak,Goalkeeper,30,Slovenia,Atlético de Madrid,€100.00m
23,Antonio Rüdiger,Centre-Back,30,Germany,Real Madrid,€50.00m
24,Martín Zubimendi,Defensive Midfield,24,Spain,Real Sociedad,€40.00m
25,Yéremy Pino,Right Winger,20,Spain,Villarreal CF,€40.00m
26,Ansu Fati,Left Winger,20,Spain,FC Barcelona,€80.00m
27,José Gayà,Left-Back,27,Spain,Valencia CF,€50.00m
28,José María Giménez,Centre-Back,28,Uruguay,Atlético de Madrid,€70.00m
29,Robin Le Normand,Centre-Back,26,France,Real Sociedad,€35.00m
30,Ángel Correa,Right Winger,28,Argentina,Atlético de Madrid,€45.00m
31,Karim Benzema,Centre-Forward,35,France,Real Madrid,€60.00m
32,Ferland Mendy,Left-Back,27,France,Real Madrid,€50.00m
33,Marcos Llorente,Central Midfield,28,Spain,Atlético de Madrid,€80.00m
34,Gabri Veiga,Attacking Midfield,20,Spain,Celta de Vigo,€30.00m
35,Ferran Torres,Left Winger,23,Spain,FC Barcelona,€50.00m
36,Alejandro Balde,Left-Back,19,Spain,FC Barcelona,€30.00m
37,Andreas Christensen,Centre-Back,27,Denmark,FC Barcelona,€40.00m
38,Gerard Moreno,Centre-Forward,31,Spain,Villarreal CF,€40.00m
39,Oihan Sancet,Attacking Midfield,23,Spain,Athletic Bilbao,€30.00m
40,Nabil Fekir,Attacking Midfield,29,France,Real Betis Balompié,€70.00m
41,Brais Méndez,Attacking Midfield,26,Spain,Real Sociedad,€30.00m
42,Guido Rodríguez,Defensive Midfield,29,Argentina,Real Betis Balompié,€28.00m
43,Franck Kessié,Central Midfield,26,Cote d'Ivoire,FC Barcelona,€55.00m
44,Giorgi Mamardashvili,Goalkeeper,22,Georgia,Valencia CF,€25.00m
45,Álvaro Morata,Centre-Forward,30,Spain,Atlético de Madrid,€65.00m
46,Enes Ünal,Centre-Forward,25,Turkey,Getafe CF,€25.00m
47,Reinildo Mandava,Left-Back,29,Mozambique,Atlético de Madrid,€25.00m
48,Borja Iglesias,Centre-Forward,30,Spain,Real Betis Balompié,€28.00m
49,Yannick Carrasco,Left Winger,29,Belgium,Atlético de Madrid,€40.00m
50,Iñaki Williams,Centre-Forward,28,Ghana,Athletic Bilbao,€50.00m
