number,name,position,age,nation,team,value
1,Erling Haaland,Centre-Forward,22,Norway,Manchester City,€170.00m
2,Phil Foden,Left Winger,22,England,Manchester City,€110.00m
3,Bukayo Saka,Right Winger,21,England,Arsenal FC,€110.00m
4,Harry Kane,Centre-Forward,29,England,Tottenham Hotspur,€150.00m
5,Enzo Fernández,Defensive Midfield,22,Argentina,Chelsea FC,€85.00m
6,Declan Rice,Defensive Midfield,24,England,West Ham United,€80.00m
7,Rodri,Defensive Midfield,26,Spain,Manchester City,€80.00m
8,Martin Ødegaard,Attacking Midfield,24,Norway,Arsenal FC,€80.00m
9,Kevin De Bruyne,Attacking Midfield,31,Belgium,Manchester City,€150.00m
10,Bernardo Silva,Attacking Midfield,28,Portugal,Manchester City,€100.00m
11,Marcus Rashford,Left Winger,25,England,Manchester United,€85.00m
12,Gabriel Jesus,Centre-Forward,26,Brazil,Arsenal FC,€80.00m
13,Luis Díaz,Left Winger,26,Colombia,Liverpool FC,€75.00m
14,Bruno Fernandes,Attacking Midfield,28,Portugal,Manchester United,€90.00m
15,Rúben Dias,Centre-Back,25,Portugal,Manchester City,€75.00m
16,Mohamed Salah,Right Winger,30,Egypt,Liverpool FC,€150.00m
17,Jack Grealish,Left Winger,27,England,Manchester City,€100.00m
18,Antony,Right Winger,23,Brazil,Manchester United,€75.00m
19,Darwin Núñez,Centre-Forward,23,Uruguay,Liverpool FC,€70.00m
20,Gabriel Martinelli,Left Winger,21,Brazil,Arsenal FC,€70.00m
21,Reece James,Right-Back,23,England,Chelsea FC,€70.00m
22,Wesley Fofana,Centre-Back,22,France,Chelsea FC,€65.00m
23,Mason Mount,Attacking Midfield,24,England,Chelsea FC,€75.00m
24,Trent Alexander-Arnold,Right-Back,24,England,Liverpool FC,€110.00m
25,Cody Gakpo,Left Winger,23,Netherlands,Liverpool FC,€60.00m
